c,p
0.5,0.00975326831154459
0.5612244897959183,0.011166592222718515
0.6224489795918368,0.011219925200498663
0.6836734693877551,0.020639862400917326
0.7448979591836735,0.021246525023166513
0.8061224489795918,0.02417983880107466
0.8673469387755102,0.029459803601309325
0.9285714285714286,0.0387397417350551
0.9897959183673469,0.0451130325797828
1.0510204081632653,0.05355297631349124
1.1122448979591837,0.06133959106939287
1.1734693877551021,0.08258611609255938
1.2346938775510203,0.1013859907600616
1.2959183673469388,0.11528589809401271
1.3571428571428572,0.12743915040566398
1.4183673469387754,0.1588189412070586
1.4795918367346939,0.17667882214118572
1.5408163265306123,0.21255858294278038
1.6020408163265305,0.22251184992100054
1.663265306122449,0.2820247865014233
1.7244897959183674,0.3112645915693895
1.7857142857142856,0.3331711121925854
1.846938775510204,0.39628402477316815
1.9081632653061225,0.4005639962400251
1.9693877551020407,0.46204358637609083
2.0306122448979593,0.48444343704375303
2.0918367346938775,0.5148699008673275
2.1530612244897958,0.5587229418470544
2.2142857142857144,0.6325491163392244
2.2755102040816326,0.6420757194952034
2.336734693877551,0.6772688182078787
2.3979591836734695,0.7319017873214179
2.4591836734693877,0.768134879100806
2.520408163265306,0.7972013519909867
2.5816326530612246,0.8345877694148706
2.642857142857143,0.8813341244391704
2.704081632653061,0.8758474943500376
2.7653061224489797,0.9180205465296898
2.826530612244898,0.9351137659082273
2.887755102040816,0.9406803954640303
2.9489795918367347,0.9689135405763961
3.010204081632653,0.9608469276871487
3.071428571428571,0.9759601602655982
3.13265306122449,0.9829267804881301
3.193877551020408,0.9883600775994826
3.2551020408163263,0.9899000673328845
3.316326530612245,0.9936667088886074
3.377551020408163,0.9976266824887834
3.4387755102040813,0.9947000353330978
3.5,0.9951533656442291
